date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2016-05-01,56,22,76,75,27,33,51,33,69,30,30,40,81,64,66,39,82,38,81,70,35,12,51,65,61,81,31,75,52,2,66,40,56,56,63,64,0,46,58,59,29,87,71,35
2016-06-01,55,20,73,66,21,32,100,42,68,25,25,53,57,64,68,38,75,40,81,66,30,10,72,63,55,80,30,74,62,2,45,41,61,48,74,64,0,46,56,59,25,73,89,36
2016-07-01,57,32,79,53,18,36,78,28,65,44,24,56,38,63,74,37,79,41,74,76,34,8,47,70,59,83,30,72,52,2,17,38,61,44,63,41,0,48,62,62,22,51,53,31
2016-08-01,54,12,84,51,18,47,50,23,63,37,21,50,37,62,70,46,82,37,68,79,35,8,40,72,60,79,29,71,58,2,19,35,53,51,56,36,0,47,74,48,16,47,44,30
2016-09-01,58,8,71,64,20,33,39,29,71,31,19,37,56,62,68,54,88,44,83,72,33,10,40,71,60,87,37,77,63,2,38,35,57,46,54,47,0,50,60,52,18,67,59,36
2016-10-01,61,5,73,63,29,33,52,31,71,30,32,38,65,65,71,40,84,47,82,59,47,10,41,71,67,82,31,77,60,2,51,35,52,44,63,64,0,40,53,52,23,74,70,34
2016-11-01,65,8,100,76,32,35,61,33,68,29,32,41,78,81,67,49,84,43,87,52,35,8,50,67,55,80,30,76,62,2,70,42,54,44,69,62,0,32,42,90,17,50,66,3
2016-12-01,64,7,85,68,24,23,44,26,58,32,24,42,57,74,53,46,79,32,70,47,29,8,44,70,66,65,23,67,46,2,46,29,40,37,57,53,0,42,53,63,15,32,49,0
2017-01-01,64,6,70,81,29,45,50,34,74,29,27,45,72,57,73,87,85,45,91,74,43,9,63,66,58,92,40,80,57,3,57,52,64,55,57,72,0,40,56,58,18,46,66,0
2017-02-01,64,13,65,81,31,40,39,35,73,27,31,39,77,59,73,97,84,44,92,69,41,9,43,70,73,94,38,82,65,2,60,45,62,50,56,60,0,37,52,72,12,48,61,0
2017-03-01,63,14,66,98,36,52,45,36,76,30,32,43,98,64,73,82,90,61,89,66,41,11,39,70,82,89,40,86,55,2,79,48,67,52,62,83,0,36,52,81,20,59,72,0
2017-04-01,64,16,66,65,29,39,45,30,72,28,31,42,73,67,78,53,86,59,75,64,37,18,47,70,71,84,37,77,50,2,60,42,57,56,55,60,0,43,57,78,11,47,65,0
2017-05-01,61,26,60,72,31,34,44,36,72,27,30,47,65,63,80,42,83,45,79,71,39,13,49,66,59,81,42,77,44,2,65,39,58,52,56,71,0,43,55,73,14,44,66,0
2017-06-01,64,51,62,58,27,43,39,35,68,30,21,68,51,64,77,40,82,46,70,74,31,11,30,65,57,78,46,76,54,2,49,41,57,54,61,55,0,47,55,63,17,35,52,0
2017-07-01,64,20,55,50,26,45,49,24,66,31,23,53,38,63,82,37,82,46,67,79,35,14,31,73,62,81,47,74,48,2,20,38,56,63,61,40,0,47,68,61,0,25,47,0
2017-08-01,64,7,62,45,21,42,49,26,65,30,21,55,36,67,84,44,81,43,64,80,35,10,43,81,67,86,46,73,47,2,12,39,54,58,59,44,0,51,71,61,19,22,42,0
2017-09-01,67,5,52,64,28,39,48,27,69,25,33,47,51,66,76,52,82,45,85,66,32,9,41,70,64,85,51,77,52,2,32,39,54,58,60,54,0,45,57,65,11,30,60,0
2017-10-01,69,10,57,68,32,39,46,36,75,27,31,46,64,74,74,43,85,42,83,59,38,8,39,72,65,85,44,79,61,2,38,44,54,51,65,67,0,41,53,65,21,40,70,0
2017-11-01,64,7,88,82,33,44,45,37,70,26,30,42,77,87,62,49,78,48,88,49,37,7,44,70,61,77,44,73,49,2,59,34,52,51,71,62,0,40,51,67,24,50,80,0
2017-12-01,66,7,74,60,27,30,49,27,57,27,29,45,50,73,47,41,80,32,69,46,25,5,42,66,70,61,32,66,41,2,33,31,40,37,59,41,0,44,49,52,20,32,52,0
2018-01-01,69,9,57,75,32,40,64,35,79,32,27,53,73,60,75,80,86,50,95,70,41,8,40,69,65,91,52,81,56,3,48,43,66,54,61,67,0,38,63,60,17,43,65,0
2018-02-01,67,9,53,76,33,46,50,34,73,37,34,45,68,65,75,92,90,46,86,62,40,9,42,75,76,96,50,79,49,2,44,45,58,58,62,56,0,38,53,64,20,61,64,0
2018-03-01,64,11,52,73,33,43,45,34,71,37,30,45,69,57,68,77,87,55,83,64,37,10,34,67,96,81,50,78,48,2,51,42,58,51,57,58,0,42,44,64,14,96,63,0
2018-04-01,68,19,51,69,32,38,47,34,72,31,29,45,66,58,68,53,84,79,80,66,37,16,67,68,72,82,44,75,46,3,51,38,62,51,59,58,0,39,58,79,21,87,57,0
2018-05-01,70,22,48,61,31,41,50,36,71,29,28,46,67,63,72,41,81,47,83,68,35,12,48,65,56,79,42,78,46,2,58,37,55,51,57,51,0,44,58,79,25,87,61,0
2018-06-01,69,30,48,66,24,35,49,34,67,28,24,48,44,59,72,37,83,50,74,71,34,8,75,67,62,80,44,76,57,2,36,42,58,52,52,41,0,50,61,61,10,0,50,0
2018-07-01,69,60,44,48,21,35,60,36,63,29,25,54,35,59,71,38,78,49,65,74,32,8,67,70,64,80,46,80,50,2,17,41,57,48,51,37,0,52,64,63,19,0,43,0
2018-08-01,72,32,53,52,24,43,55,25,63,30,23,51,31,63,70,41,80,48,66,79,38,7,36,78,75,77,46,76,47,2,16,43,56,59,62,39,0,43,73,70,24,0,43,0
2018-09-01,68,6,47,57,27,39,52,33,66,28,28,44,49,64,73,47,86,49,83,66,36,7,45,77,69,84,58,75,60,2,28,39,61,53,59,50,0,46,61,67,17,0,51,0
2018-10-01,68,5,47,62,28,28,59,33,75,26,31,44,61,70,69,39,80,50,82,55,38,7,38,71,59,78,45,80,52,2,36,39,59,49,63,53,0,40,49,65,24,50,53,0
2018-11-01,75,7,70,74,28,38,56,55,72,35,31,45,71,85,62,46,80,55,87,51,31,6,40,70,62,79,44,79,53,2,43,37,56,53,66,49,0,31,48,74,29,100,70,1
2018-12-01,78,7,61,51,22,24,46,91,58,38,22,49,49,74,47,41,76,38,70,45,25,7,52,69,71,63,34,68,40,2,36,30,41,40,58,53,0,39,50,58,31,67,67,2
2019-01-01,78,9,48,81,30,36,59,78,78,38,30,54,62,58,68,70,83,52,90,67,38,13,38,69,59,90,54,82,51,3,38,41,65,62,55,54,0,36,54,74,39,77,81,2
2019-02-01,72,15,53,75,30,48,40,34,75,33,30,47,61,64,77,79,83,57,84,62,40,13,41,73,62,83,48,85,55,3,33,41,59,54,53,50,0,35,57,74,47,79,74,3
2019-03-01,71,8,48,78,31,42,44,36,75,33,33,53,65,65,81,66,80,66,87,62,38,12,41,73,62,83,51,83,44,2,48,43,57,53,52,61,0,33,51,68,40,77,73,3
2019-04-01,70,16,45,66,29,37,43,32,70,33,23,48,57,67,71,50,75,87,81,68,37,17,59,70,71,78,47,79,49,3,44,34,55,53,57,52,0,40,54,68,35,67,73,3
2019-05-01,70,19,50,71,29,42,58,34,72,33,28,51,57,68,73,37,82,57,79,68,38,11,54,73,60,76,46,84,42,2,54,38,60,59,56,48,0,40,53,65,32,68,74,3
2019-06-01,75,23,46,65,23,40,57,30,67,34,26,50,43,61,81,37,82,52,76,73,34,8,33,71,60,81,49,77,53,2,31,37,58,56,44,43,0,46,58,63,13,66,65,3
2019-07-01,76,49,42,40,23,41,63,32,65,38,26,57,33,66,84,36,81,51,70,82,35,8,31,75,59,79,51,81,47,2,13,40,65,58,53,44,0,47,60,65,16,71,59,3
2019-08-01,73,18,45,45,21,39,54,30,62,45,23,53,33,68,78,37,81,48,66,77,37,7,43,81,68,76,49,73,48,2,7,35,60,56,56,37,0,46,66,58,27,62,56,3
2019-09-01,76,12,41,64,26,46,52,37,71,39,31,49,46,71,82,44,83,51,91,77,38,7,43,73,63,84,60,80,63,2,27,45,68,56,54,46,0,45,61,56,18,80,63,4
2019-10-01,73,10,47,63,26,36,49,32,76,34,30,48,55,73,70,40,85,48,83,78,41,7,40,71,59,80,51,81,65,2,28,46,65,56,51,61,0,42,56,56,29,82,67,4
2019-11-01,68,10,73,72,27,43,38,31,69,69,33,43,62,90,68,36,83,47,85,76,35,6,39,71,58,76,48,77,57,2,50,37,58,56,57,53,0,37,51,54,34,79,70,4
2019-12-01,77,12,58,60,23,28,49,28,59,60,22,48,47,76,65,37,78,40,72,89,34,6,52,77,65,65,43,79,47,3,38,33,52,51,53,55,0,45,49,50,24,56,60,5
2020-01-01,70,14,46,81,31,53,48,32,81,59,28,53,61,62,79,66,85,60,91,98,44,8,43,72,56,91,60,94,58,4,38,44,80,71,54,59,0,35,58,59,25,65,67,5
2020-02-01,77,14,45,79,30,56,47,33,81,52,35,55,61,70,75,76,87,57,86,91,42,10,39,74,74,85,53,94,64,4,41,43,73,63,58,61,0,32,44,55,26,83,72,4
2020-03-01,76,12,38,68,26,72,57,28,100,51,100,100,63,68,65,55,83,56,91,71,31,9,33,44,80,68,51,96,40,3,51,40,97,77,85,53,0,18,21,70,89,80,84,3
2020-04-01,78,22,55,61,25,44,39,29,73,57,75,77,56,48,48,35,74,49,71,54,29,15,37,25,92,67,28,97,50,2,33,46,70,60,71,47,0,11,7,63,69,61,79,3
2020-05-01,72,38,58,57,26,59,42,33,69,56,62,61,55,51,65,35,90,33,77,69,31,11,34,27,93,74,34,85,52,2,39,44,86,73,65,43,0,11,14,59,37,60,68,3
2020-06-01,74,39,52,55,23,48,29,30,65,55,31,57,50,58,68,39,95,37,76,83,34,10,34,31,91,75,43,84,61,2,30,42,75,70,67,44,0,10,17,50,35,55,58,3
2020-07-01,74,19,47,48,23,45,40,28,65,63,30,53,36,62,84,43,100,47,70,100,34,8,43,61,89,77,45,83,59,2,19,44,78,69,59,36,0,16,25,46,28,37,52,3
2020-08-01,73,55,43,52,25,46,44,27,63,53,26,58,29,66,78,51,93,46,64,99,35,6,29,100,94,74,45,77,59,2,17,48,75,74,56,24,0,16,31,43,23,25,46,3
2020-09-01,71,21,43,65,27,50,39,29,78,48,30,62,48,62,100,57,92,47,92,86,38,7,36,72,80,81,60,88,71,2,28,45,82,69,57,36,0,15,25,45,15,35,57,3
2020-10-01,74,14,46,52,25,40,37,30,78,61,35,62,55,60,75,45,87,43,83,83,38,7,46,61,74,75,57,90,69,2,37,43,88,64,56,45,0,14,21,51,27,37,62,3
2020-11-01,80,12,60,64,26,43,40,29,67,57,32,62,63,58,71,43,80,40,75,74,36,7,45,36,82,75,56,89,62,1,45,48,64,60,55,50,0,11,16,52,29,36,62,3
2020-12-01,76,13,51,54,24,37,45,26,63,54,25,58,46,58,77,40,83,29,69,66,32,6,42,42,84,62,50,85,55,1,34,37,50,54,50,36,0,15,18,48,18,26,54,3
2021-01-01,83,16,45,64,29,47,43,33,74,66,35,66,73,56,71,48,79,37,78,68,37,12,49,27,85,79,60,89,62,2,47,37,69,67,63,44,0,9,14,46,22,63,60,3
2021-02-01,84,15,42,68,33,49,39,33,77,71,35,54,70,55,71,52,81,40,72,66,39,8,47,26,100,75,49,95,53,2,40,35,69,66,62,47,0,11,20,52,23,46,57,2
2021-03-01,79,22,42,66,39,41,43,38,77,66,30,53,61,56,60,50,83,56,71,66,39,10,45,29,92,75,55,98,57,2,53,45,71,63,61,44,0,11,25,56,32,61,54,2
2021-04-01,79,21,41,59,33,48,39,29,74,59,32,52,52,59,54,39,83,63,78,50,35,13,40,44,82,72,47,84,53,2,37,35,62,53,59,37,0,14,28,50,19,60,47,1
2021-05-01,74,21,37,61,41,31,35,33,77,60,33,52,63,67,60,41,84,56,85,55,35,8,54,69,82,78,49,88,56,1,45,38,58,52,58,50,0,16,42,50,11,64,51,1
2021-06-01,79,45,34,43,35,34,29,26,71,53,23,56,39,60,59,43,78,54,74,59,32,7,67,76,73,76,52,89,59,1,29,26,61,52,60,36,0,23,42,43,9,45,40,1
2021-07-01,83,56,34,32,33,34,34,24,69,59,25,56,25,61,65,42,78,54,68,63,30,7,64,78,76,71,48,85,48,1,7,28,54,43,62,24,0,23,46,39,12,36,31,28
2021-08-01,80,14,35,34,32,35,37,22,66,60,31,55,20,64,62,45,81,49,65,61,30,6,40,90,76,71,48,82,48,1,0,33,55,48,59,23,0,24,57,38,9,34,31,38
2021-09-01,77,14,34,53,39,34,50,26,79,48,30,47,38,66,64,52,86,54,77,58,32,6,59,82,71,81,61,92,58,2,29,36,65,49,71,43,0,28,51,48,19,32,46,35
2021-10-01,78,9,35,61,48,39,43,28,80,46,31,43,48,74,64,42,83,62,71,52,31,5,49,84,69,74,47,85,52,2,29,32,59,47,68,38,0,25,45,45,24,45,52,27
2021-11-01,76,9,47,63,46,34,48,32,81,59,34,48,64,89,71,45,80,50,74,48,33,5,50,79,61,74,49,91,61,2,41,40,52,49,74,46,0,25,41,56,28,61,59,34
2021-12-01,81,6,43,50,44,29,39,26,73,62,30,60,46,75,61,38,76,37,63,44,25,6,50,69,70,59,43,81,47,2,38,34,43,46,62,36,0,22,33,57,25,56,44,28
2022-01-01,84,11,37,76,69,50,31,44,81,70,40,52,61,66,71,65,87,55,84,69,36,9,48,73,62,82,63,90,65,3,62,49,71,71,82,70,0,22,48,65,25,78,67,45
2022-02-01,85,8,39,73,74,44,38,42,84,68,40,59,64,69,70,80,88,57,84,65,40,26,55,83,71,79,55,90,73,4,59,51,67,66,90,63,0,30,51,72,43,75,75,37
2022-03-01,78,15,40,86,80,56,39,39,81,69,39,57,83,69,69,79,88,64,83,67,31,50,53,75,64,77,61,90,65,6,66,62,63,66,100,89,39,25,54,91,54,84,94,39
2022-04-01,80,22,42,70,70,62,40,38,76,65,34,42,58,66,70,58,86,64,72,70,31,100,51,75,68,73,51,83,57,7,56,62,57,86,83,71,49,33,73,60,48,63,72,37
2022-05-01,80,27,40,78,88,60,61,40,79,59,34,44,73,66,73,57,87,50,80,72,34,96,51,75,62,75,57,86,72,12,79,72,55,71,86,79,33,34,63,64,66,35,73,34
2022-06-01,84,36,36,67,86,61,64,100,72,59,34,49,54,69,79,50,86,51,76,75,31,61,32,76,59,72,60,88,75,23,50,71,56,79,82,63,49,49,65,55,94,63,70,34
