date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2016-08-01,45,0,56,0,27,0,38,52,29,46,28,56,39,35,27,30,36,26,52,26,18,15,33,43,16,36,3,23,0,31,0,0,18,12,0,0,65,47,0,23,4,7,55,25
2016-09-01,44,0,67,0,35,69,36,52,48,41,25,39,66,41,28,56,45,39,68,30,92,94,36,42,16,62,5,34,61,49,0,0,87,84,62,0,100,0,0,26,8,12,75,36
2016-10-01,44,89,65,0,35,0,0,82,51,27,34,43,87,42,23,47,53,40,67,23,93,74,34,39,16,60,4,37,60,58,0,0,100,84,71,0,78,36,0,21,9,11,64,35
2016-11-01,45,83,78,36,39,100,45,73,51,35,35,40,63,43,28,53,57,45,67,23,98,100,30,34,18,59,5,41,59,49,0,0,94,100,43,0,48,0,0,40,1,8,8,2
2016-12-01,46,80,74,27,33,54,0,72,44,39,33,41,68,41,21,54,50,41,64,21,82,77,30,32,10,50,5,36,27,45,0,0,84,80,76,0,43,27,0,36,0,7,3,0
2017-01-01,45,69,67,0,37,0,0,66,28,28,31,43,61,34,20,38,51,34,66,14,14,27,30,25,15,43,2,29,0,44,0,0,15,11,21,0,25,31,0,26,0,6,3,0
2017-02-01,43,0,64,0,38,0,0,58,27,30,34,37,64,36,21,55,52,30,63,14,17,32,35,28,13,43,2,28,30,39,0,0,13,0,21,0,24,30,0,25,0,8,3,0
2017-03-01,44,0,61,0,36,0,34,61,29,25,36,39,68,37,22,53,55,31,66,16,17,24,29,28,17,42,2,33,34,41,0,0,0,14,32,0,29,33,0,27,0,7,3,0
2017-04-01,47,0,60,0,37,0,35,57,27,31,42,44,71,42,21,34,50,30,62,20,18,29,33,36,16,38,2,29,28,45,0,0,14,10,25,0,52,28,0,31,0,6,24,0
2017-05-01,44,0,63,25,35,0,0,66,30,32,43,43,72,39,26,49,55,34,65,20,18,28,31,34,16,39,2,29,0,33,0,0,0,11,27,0,70,31,0,28,0,8,58,0
2017-06-01,46,0,57,0,36,0,33,73,25,29,43,55,52,45,29,34,43,35,59,25,18,29,24,39,18,41,2,29,29,40,0,0,0,0,32,0,83,0,0,31,1,7,88,0
2017-07-01,47,0,63,0,26,0,56,53,28,43,39,61,42,44,22,35,40,25,60,29,0,31,18,47,18,35,3,27,0,38,0,0,0,12,0,0,86,0,0,24,1,5,87,0
2017-08-01,48,0,50,26,30,0,39,43,25,29,20,64,34,44,12,31,38,32,57,25,13,24,29,50,21,33,4,25,0,46,0,0,0,13,23,82,59,29,0,25,0,5,76,0
2017-09-01,46,0,65,24,30,0,27,52,28,28,56,46,58,44,19,33,49,27,68,21,13,26,33,42,19,42,2,27,34,36,0,0,13,9,30,0,81,33,0,26,0,5,84,0
2017-10-01,46,0,66,25,34,0,0,74,28,30,31,42,58,41,24,36,55,29,67,16,18,19,29,38,17,40,3,28,38,42,0,0,0,8,23,0,65,22,0,26,1,6,74,0
2017-11-01,45,0,98,0,31,0,0,72,25,30,49,41,69,47,24,41,55,33,65,13,12,21,26,32,17,40,2,29,0,35,0,0,0,9,34,0,39,0,0,26,1,7,71,0
