date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2017-12-01,29,0,100,0,13,0,0,18,21,26,14,46,29,43,7,10,43,31,50,69,22,39,21,68,18,49,12,48,16,33,0,0,0,8,0,0,40,0
2018-01-01,26,0,88,0,11,0,29,15,21,26,19,54,35,44,7,12,41,32,52,49,19,31,21,62,14,57,11,48,14,36,0,0,0,8,0,0,33,0
2018-02-01,26,0,77,0,13,0,25,16,23,32,15,51,35,40,7,11,42,34,50,48,24,41,19,63,12,55,0,50,0,33,0,0,0,10,29,0,37,0
2018-03-01,27,0,91,0,13,0,0,17,25,34,30,46,38,39,7,11,43,35,52,51,37,40,19,60,18,57,13,51,12,35,0,0,0,9,30,0,48,39
2018-04-01,27,0,93,0,13,0,22,18,24,30,28,44,40,39,9,14,40,32,49,51,32,38,20,59,14,53,16,50,9,40,47,0,0,11,28,0,35,0
2018-05-01,29,0,86,0,12,0,0,19,22,29,22,50,33,39,8,13,42,28,49,51,23,45,18,72,16,49,12,49,12,25,0,0,0,12,29,0,39,0
2018-06-01,27,65,75,0,8,0,0,17,18,28,15,46,15,42,5,7,35,30,42,70,18,36,23,76,17,39,9,49,0,42,0,0,0,7,33,0,28,0
2018-07-01,25,0,75,0,9,0,25,18,23,30,22,51,26,41,10,11,39,30,46,52,21,46,22,67,20,60,16,53,100,32,0,0,11,12,18,0,42,0
2018-08-01,25,0,75,27,11,0,32,16,33,34,13,55,33,41,11,19,42,35,44,59,22,55,17,74,18,67,39,53,49,34,0,31,15,36,35,0,49,0
2018-09-01,26,0,76,0,13,61,30,21,41,36,19,48,47,43,10,21,43,35,53,60,56,60,15,78,26,77,39,61,18,52,0,0,31,39,32,0,54,49
2018-10-01,26,52,79,0,17,0,26,22,45,39,29,56,45,42,15,29,47,34,56,60,68,60,15,79,32,79,72,60,31,57,0,33,48,36,34,0,60,72
2018-11-01,26,0,83,0,21,0,29,21,43,41,17,50,43,42,11,21,46,35,67,69,56,60,14,74,28,81,45,62,13,60,0,0,38,40,39,0,48,0
2018-12-01,32,0,91,0,15,0,43,23,43,45,24,53,39,48,9,22,47,39,49,85,54,53,15,87,34,72,45,72,26,52,0,39,44,60,30,0,50,0
2019-01-01,30,93,79,0,13,0,26,23,43,39,41,54,43,42,18,20,45,37,56,70,65,55,15,75,28,77,60,64,22,57,0,42,32,59,42,0,57,0
2019-02-01,28,68,78,29,14,0,35,24,53,35,34,51,49,44,17,17,45,39,60,76,95,74,14,75,39,82,70,68,18,89,0,0,70,61,24,0,68,0
2019-03-01,31,55,84,22,17,0,35,25,59,41,19,52,48,46,18,21,46,37,61,81,100,71,15,80,62,88,75,71,30,77,0,28,89,74,26,0,65,53
2019-04-01,30,0,75,0,16,0,33,24,46,34,29,69,47,43,18,16,45,38,59,72,70,55,14,74,50,73,57,65,40,57,0,40,45,56,32,0,57,44
2019-05-01,38,0,91,0,15,0,34,24,57,41,30,79,51,43,21,21,47,35,61,88,85,70,15,97,50,78,100,91,27,73,0,29,69,100,31,0,61,0
2019-06-01,35,0,90,0,13,0,35,25,54,45,19,71,33,46,22,17,45,42,53,100,81,62,14,97,54,74,84,100,15,76,0,30,100,68,34,0,65,58
2019-07-01,43,96,94,28,15,0,41,25,62,47,28,65,42,47,26,19,51,39,62,84,68,74,13,100,76,100,74,93,24,67,0,46,87,95,49,0,68,46
2019-08-01,30,0,89,0,12,0,34,23,62,51,25,65,53,47,21,28,49,44,68,80,63,70,16,89,100,94,85,81,28,65,0,52,72,85,0,42,49,0
2019-09-01,30,57,81,30,14,59,50,30,62,55,19,60,58,45,20,43,53,41,75,73,97,52,13,88,87,89,79,76,23,78,0,0,57,67,34,0,55,37
2019-10-01,27,73,72,0,18,0,26,29,58,51,36,64,56,44,20,31,55,43,85,73,89,63,13,79,93,84,83,74,21,68,0,29,92,67,43,0,44,0
2019-11-01,29,56,80,0,22,0,32,30,55,62,23,55,47,43,20,26,50,44,85,75,77,60,13,82,89,87,69,74,21,71,0,63,64,62,34,0,62,40
2019-12-01,32,52,74,27,16,53,30,27,53,69,30,53,45,43,18,29,49,41,72,86,76,68,13,87,80,79,75,72,20,96,0,57,58,78,49,0,49,0
2020-01-01,31,59,71,0,14,0,27,30,55,57,29,65,44,41,18,20,49,42,78,71,64,50,13,83,79,78,67,71,20,100,0,62,68,75,35,0,44,0
2020-02-01,30,48,69,0,14,81,35,27,58,55,25,72,49,41,21,27,52,44,76,69,50,64,12,78,75,80,60,67,27,88,0,44,58,71,33,0,82,0
2020-03-01,31,0,49,23,13,63,63,28,63,63,34,73,41,38,19,24,67,36,79,49,58,57,9,48,65,68,47,62,17,51,0,66,64,64,34,31,68,41
2020-04-01,35,0,49,19,14,0,35,28,49,64,28,58,51,37,17,20,77,34,68,30,58,55,5,27,73,53,32,57,16,41,35,28,30,63,35,35,58,37
2020-05-01,38,0,57,21,14,0,28,25,47,69,23,57,32,35,12,16,69,41,64,34,39,55,6,30,68,53,31,69,11,51,0,55,27,49,38,0,36,0
2020-06-01,33,0,61,0,14,0,17,27,49,69,34,50,43,37,24,27,72,48,70,40,56,54,7,40,61,67,36,71,21,50,35,37,31,65,38,0,43,0
2020-07-01,31,0,60,0,10,0,23,25,44,67,24,47,31,31,21,23,75,40,62,43,48,46,10,44,65,61,31,63,21,54,0,60,31,59,25,0,41,0
2020-08-01,30,0,55,23,12,49,24,25,46,61,24,44,36,32,20,54,66,43,61,45,44,50,11,50,58,59,34,58,14,44,0,30,21,63,32,0,40,29
2020-09-01,32,0,51,20,13,42,34,29,53,71,31,45,40,33,23,91,72,42,62,39,60,56,12,39,51,66,36,55,21,49,0,46,33,73,20,32,32,32
2020-10-01,29,0,53,0,16,55,22,27,50,67,27,45,44,31,25,58,68,42,61,42,71,56,10,44,39,60,39,57,18,50,0,53,24,55,29,36,12,0
2020-11-01,28,0,47,25,23,0,27,26,46,64,26,48,36,30,38,57,68,43,66,44,58,52,10,51,25,65,36,56,79,43,0,69,35,51,32,42,11,0
2020-12-01,31,0,50,0,21,45,25,28,46,77,22,47,28,32,43,88,62,43,62,49,57,61,11,52,27,61,41,59,34,34,0,43,50,39,30,35,12,0
2021-01-01,31,0,49,0,14,0,21,29,46,59,22,51,35,32,48,27,64,46,69,39,54,49,10,42,28,54,34,59,22,44,0,39,22,42,52,0,14,0
2021-02-01,31,0,48,0,13,0,26,28,44,64,24,44,31,36,60,29,63,45,67,34,53,66,9,42,28,54,36,56,26,39,0,24,37,28,37,0,22,0
2021-03-01,29,0,48,18,15,0,23,26,45,64,22,41,37,35,82,60,62,48,66,36,66,66,9,45,28,61,37,53,33,38,0,37,40,45,35,47,15,0
2021-04-01,29,0,51,18,16,60,17,28,47,62,32,43,43,40,100,35,56,44,58,44,68,66,8,54,34,61,45,56,41,40,0,39,41,57,48,0,18,0
2021-05-01,30,0,48,0,17,0,24,27,47,66,24,45,27,42,69,22,50,47,50,46,52,68,10,59,41,55,42,57,23,39,40,48,21,48,24,43,8,30
2021-06-01,30,44,48,18,16,0,31,28,67,64,23,43,31,42,77,19,61,58,59,44,57,84,12,50,63,67,53,61,24,40,0,51,33,57,41,0,22,35
2021-07-01,33,53,47,0,11,58,0,31,100,59,29,47,28,33,59,20,63,51,56,33,49,75,9,30,72,62,56,59,22,49,0,67,39,54,28,0,15,87
2021-08-01,30,0,43,0,11,66,17,33,73,57,54,46,21,35,51,59,58,62,49,37,66,82,9,34,44,64,50,58,30,41,0,58,29,54,20,0,13,70
2021-09-01,26,44,47,0,14,0,25,28,67,57,43,40,33,38,54,94,57,52,52,42,82,69,11,48,44,75,71,58,36,50,0,92,53,75,48,42,0,0
2021-10-01,27,0,50,0,15,0,29,27,73,55,44,42,39,37,39,71,56,53,51,44,63,55,9,56,42,63,76,57,30,37,0,45,47,50,42,47,13,0
2021-11-01,30,0,49,29,26,50,33,27,63,58,53,43,39,42,48,74,54,55,60,47,92,63,9,61,44,78,84,58,24,42,0,100,52,64,44,41,0,36
2021-12-01,29,0,45,0,20,0,0,28,53,72,42,43,32,37,55,100,53,54,48,53,65,65,11,71,35,68,82,54,23,54,0,61,44,47,37,100,0,0
