date,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht,/m/02v_8dy,/m/09jx2,/m/04n7dpf,/m/0g_fl,/m/01rd35,/m/016ldw,/g/11cks2gbc8,/m/0cvgr,/m/06bmj_x,/m/06lry,/m/0hbm6,/m/0drqp,/m/014dsx,/m/07s_c,/g/11bc57hf91,/m/01tzw5,/m/018m33,/g/121g16mn,/g/1216wtvp,/m/088p1q,/g/1236svz8,/m/0pb8nv_,/m/02r5p3,/m/05457c,/m/0218w7,/g/11w4h00ll9,/m/06bmj_y,/m/026gdg4,/m/09y23_,/m/01s_5,/m/01cf44,/m/0545k,/m/01cf0p,/m/0cs24,/m/0z_xz,/m/0d130,/m/0hdyy,/m/011d_9rh,/m/04sng5,/m/0hhw8xd,/m/05nxj0,/m/0c40cq0,/m/06njd,/m/081zw_,/m/02vtq7g,/m/091tvr,/m/02r49f,/m/01406c,/m/04f0h,/m/020d7_,/g/1213tqm6,/m/0h7q5bz,/m/025t20m,/m/042px7,/m/017l39,/g/11cp7w3r6w,/g/11fsrblbyd,/m/03nw7w,/g/11lc9ltvgb,/g/11s7rb01fr,/g/120lq987,/m/079gm,/g/1q582vwlz
2016-12-01,33,0,23,27,0,0,10,21,37,31,0,0,45,20,28,60,25,70,17,0,0,26,0,0,7,0,0,0,0,0,0,20,0,21,10,0,24,0,0,44,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
2017-01-01,39,0,37,33,0,0,17,26,38,42,0,0,0,18,33,71,27,62,27,0,36,30,0,0,4,0,0,0,0,0,0,18,0,0,11,0,32,0,0,35,41,0,8,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,54,0,0,0,30,0
2017-02-01,40,0,34,32,0,0,12,24,47,39,70,0,0,0,35,67,24,73,20,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,42,0,40,26,44,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,36,0
2017-03-01,51,0,40,38,0,0,15,29,51,48,65,0,56,22,34,80,24,65,18,0,79,29,0,0,6,0,0,0,0,0,0,22,0,0,12,0,47,0,36,39,0,0,9,22,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,58,0,0,0,31,0
2017-04-01,35,0,26,29,0,0,13,23,41,32,0,0,0,20,40,62,23,62,18,0,63,27,0,0,4,0,0,0,0,45,0,20,0,22,10,0,25,0,31,22,0,0,4,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,43,0,100,0,0,0
2017-05-01,38,0,30,37,0,0,13,24,45,30,0,0,0,25,28,58,27,59,24,0,40,26,0,0,6,0,70,0,0,0,0,25,75,21,14,0,43,0,38,27,0,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,28,0
2017-06-01,36,0,32,36,0,0,13,26,45,29,0,0,0,18,28,57,24,54,15,0,36,24,0,0,8,0,0,0,0,0,0,18,0,20,10,0,61,0,45,39,0,0,7,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,78,0,0,53,0,0,0,23,0
2017-07-01,35,0,34,36,0,0,12,31,48,28,0,0,0,0,29,79,21,68,21,0,38,25,0,0,4,0,0,0,0,0,0,0,0,18,11,0,40,0,0,25,0,0,7,24,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,64,0,0,0,34,0
2017-08-01,37,0,28,37,0,0,17,26,47,33,54,0,0,0,36,80,27,70,26,0,39,26,0,0,0,0,0,0,0,0,0,0,0,18,10,0,41,0,0,36,0,0,8,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,54,0,0,0,30,0
2017-09-01,39,0,38,43,0,0,11,26,49,42,77,0,0,14,31,80,30,76,18,0,40,24,0,0,7,0,0,0,0,0,0,14,0,19,13,0,42,0,32,40,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,30,0
