date,Age,Cosmetics,Inflation,Forex rate,confidence,health,weakness,trajectory,news,market,applicant,drive,wage,active,rental,rebate,goal,restaurant,takeaway,training,care,cost of living,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,Air Conditioner Price,Bank loan rate,onsite,annuity,childcare,career opportunities,Economic development,Employment Rate,economic policies
2023-10-01,68,68,52,0,48,86,56,0,39,56,0,77,65,81,56,0,36,61,0,69,76,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,68,80,51,0,69,80,44,0,30,60,0,84,94,81,54,0,33,57,0,68,80,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-01,80,87,47,0,0,71,31,0,27,74,0,76,81,80,54,0,34,57,0,62,81,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,77,93,46,0,57,82,62,0,33,62,0,81,89,80,77,0,35,50,0,76,82,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,70,81,42,0,47,82,76,0,31,63,0,90,81,84,79,0,28,57,0,80,92,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01,77,87,50,0,54,86,67,0,33,65,0,85,64,86,85,0,26,62,0,80,88,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,71,83,42,0,56,82,69,0,30,62,0,87,96,100,71,0,29,57,0,73,84,56,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2024-05-01,75,69,46,0,53,86,60,0,29,60,0,84,76,76,76,0,27,60,0,68,82,77,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01,82,75,41,0,39,77,98,0,30,55,0,70,60,79,78,0,55,64,0,78,76,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01,100,78,37,0,62,82,100,0,36,55,0,64,75,77,97,0,58,82,0,73,94,100,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-01,86,81,52,0,50,75,93,0,38,69,0,64,82,77,87,0,26,74,0,77,73,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,77,74,53,0,62,90,63,0,35,60,0,87,76,78,89,0,31,60,0,79,87,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-01,75,73,45,0,33,93,68,0,33,64,0,89,55,86,58,0,39,65,0,78,85,40,0,0,61,0,0,0,90,0,0,0,0,0,0,0,0,0,0
2024-11-01,95,100,54,0,53,93,64,0,38,72,0,88,73,95,59,0,33,65,0,72,88,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-01,88,89,64,0,70,89,72,0,37,86,0,81,57,83,56,0,29,63,0,69,85,48,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
