date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2019-04-01,62,0,78,48,40,0,0,86,23,70,42,33,45,71,0,36,66,62,82,11,16,12,54,34,11,18,6,14,0,15,0,0,34,8,0,0,0,73,0
2019-05-01,75,0,74,50,45,0,0,84,23,65,38,35,54,68,21,22,72,74,77,12,16,13,51,33,11,18,6,15,0,15,0,0,40,11,0,0,0,85,0
2019-06-01,65,0,83,75,39,0,0,68,21,76,58,32,38,64,23,24,70,68,73,14,13,15,45,39,10,18,7,15,0,18,0,0,38,9,0,0,0,71,0
2019-07-01,73,0,75,0,39,0,0,60,21,48,43,31,28,60,0,26,69,63,74,13,16,15,37,34,15,18,7,14,0,19,0,0,34,12,32,0,0,61,0
2019-08-01,63,0,62,0,35,0,0,63,20,63,44,32,26,54,16,25,68,59,69,11,9,15,36,35,14,16,6,13,0,16,0,0,37,7,0,0,0,78,0
2019-09-01,67,0,66,0,36,0,0,66,26,71,41,33,37,67,16,20,74,66,73,14,27,12,49,37,20,19,10,16,0,17,0,0,0,12,0,0,0,88,0
2019-10-01,62,0,73,56,41,0,0,76,25,68,48,33,38,72,21,30,72,68,83,14,38,12,48,39,19,20,9,19,0,21,0,0,44,14,0,0,0,68,0
2019-11-01,71,0,80,50,37,0,0,71,26,100,56,38,36,71,0,24,75,63,79,16,16,20,51,39,24,22,10,20,0,17,0,0,0,9,36,0,0,74,54
2019-12-01,65,0,71,0,43,0,100,68,26,89,48,44,42,66,32,34,73,67,78,18,22,24,62,37,22,23,10,20,0,24,0,0,56,16,0,0,0,51,0
2020-01-01,65,0,62,0,34,0,0,58,27,73,46,48,33,54,18,33,71,66,70,15,16,24,46,32,17,20,10,18,35,27,0,0,0,12,0,0,0,51,0
2020-02-01,62,0,63,43,41,0,0,59,25,77,51,52,29,50,14,28,69,56,75,11,12,14,44,24,14,19,12,17,0,19,0,0,45,10,43,0,0,33,0
2020-03-01,58,0,55,66,37,0,0,78,30,80,54,56,28,55,22,39,86,48,73,14,21,21,40,20,21,24,13,22,0,11,0,0,49,17,30,0,0,13,0
2020-04-01,57,0,52,69,45,0,0,95,28,78,65,50,53,52,15,39,83,56,81,10,31,22,42,15,13,20,9,20,0,14,0,0,31,16,58,0,0,16,0
2020-05-01,60,60,48,50,50,0,0,98,23,91,60,48,43,47,12,29,79,59,75,8,19,20,43,15,16,18,5,14,0,14,0,0,25,11,43,0,0,13,0
2020-06-01,62,74,51,30,43,0,0,99,24,82,61,45,45,51,19,30,90,57,83,8,22,18,48,18,14,19,9,15,0,15,0,0,0,10,49,0,0,21,0
2020-07-01,57,0,51,0,34,0,0,68,21,78,57,46,32,43,18,30,71,49,75,7,15,15,46,16,15,18,4,12,0,12,0,0,23,11,34,0,0,18,0
2020-08-01,60,0,44,30,41,0,0,77,22,62,57,46,22,40,14,28,75,44,61,7,13,13,42,16,13,17,8,14,30,11,0,0,22,9,0,0,100,23,0
2020-09-01,57,0,46,37,41,0,0,80,24,72,58,43,36,49,21,28,89,46,73,8,26,13,51,16,19,19,7,15,24,12,0,0,29,14,48,0,0,11,0
2020-10-01,59,0,47,35,38,29,0,81,24,86,48,47,40,43,13,26,72,61,70,8,29,18,56,19,11,18,12,15,0,11,0,54,41,15,45,0,0,19,0
2020-11-01,60,0,50,0,35,34,0,93,25,81,43,65,30,44,18,20,66,49,72,9,21,15,52,18,17,19,10,16,0,13,0,0,42,14,0,0,0,11,0
2020-12-01,58,0,42,34,40,0,0,75,21,65,45,47,30,42,13,28,62,47,63,7,14,12,48,12,10,16,4,13,0,10,0,0,33,9,0,0,0,19,0
2021-01-01,54,0,40,0,41,0,0,54,20,70,43,53,23,48,12,34,60,52,62,5,12,19,49,12,12,14,5,11,0,13,0,0,21,10,26,0,0,0,0
2021-02-01,58,0,41,42,47,0,0,62,21,81,38,48,33,47,0,29,60,53,64,6,16,13,44,16,12,16,7,12,0,11,0,0,25,8,36,0,0,22,0
2021-03-01,61,0,48,0,51,27,0,73,28,70,56,44,29,51,25,37,74,56,76,14,39,19,51,23,33,25,12,18,0,12,0,0,37,26,42,0,0,13,0
2021-04-01,67,0,53,45,48,30,0,86,32,81,55,48,38,56,28,29,75,60,79,16,44,32,51,29,30,27,15,21,51,24,0,42,45,26,40,0,0,24,0
2021-05-01,63,0,49,32,59,0,0,80,28,82,53,45,37,49,35,38,69,55,70,16,35,25,48,27,34,28,17,20,59,17,0,49,35,20,43,0,0,20,0
2021-06-01,66,0,50,40,52,0,0,79,63,76,42,42,29,51,24,29,62,60,73,16,28,22,52,29,38,25,14,18,53,17,0,0,35,23,51,0,0,27,0
2021-07-01,61,48,45,0,39,0,0,67,65,79,39,48,24,42,21,27,64,59,68,13,19,22,46,28,32,26,11,17,24,13,0,77,51,20,30,0,0,30,0
2021-08-01,58,0,43,47,37,0,0,54,55,69,33,45,22,42,22,24,57,48,63,14,20,22,40,26,27,24,14,18,26,15,0,0,51,14,0,0,0,11,0
2021-09-01,55,0,39,0,39,0,0,61,57,57,38,44,28,40,16,26,61,42,61,11,22,13,53,22,22,21,13,16,27,12,0,35,34,16,0,0,0,18,0
2021-10-01,49,0,37,37,56,0,0,66,49,76,46,40,35,38,13,24,59,49,58,9,22,7,50,20,14,17,13,14,0,14,0,0,35,11,43,42,0,15,0
2021-11-01,50,0,43,45,59,0,0,71,23,73,46,38,34,41,22,26,57,49,66,6,14,15,42,17,13,15,6,12,0,13,0,42,0,5,28,0,0,18,0
2021-12-01,55,0,38,40,53,0,0,68,23,64,53,37,29,39,0,34,64,45,60,10,20,14,46,18,13,17,9,13,0,11,0,37,28,13,0,0,0,11,0
2022-01-01,67,0,44,0,52,0,0,74,30,73,54,35,21,46,20,35,69,55,72,9,18,20,54,20,15,20,11,14,0,20,0,0,44,12,0,0,0,20,0
2022-02-01,62,0,41,0,55,0,0,75,28,85,61,38,18,43,21,50,73,62,75,10,15,13,50,16,15,19,10,13,0,21,0,0,0,12,39,0,0,17,0
2022-03-01,63,0,37,48,63,0,0,82,30,77,61,34,32,48,20,47,81,56,81,9,18,15,50,17,15,19,7,15,0,18,93,0,37,14,37,0,0,15,0
2022-04-01,53,0,38,48,70,26,0,100,26,76,72,29,42,49,21,50,84,59,79,10,24,16,59,19,12,18,9,15,0,15,73,0,30,13,33,0,0,31,0
2022-05-01,57,0,36,47,79,0,0,88,34,85,62,32,33,48,26,38,83,49,77,11,17,17,63,23,22,19,11,13,0,16,0,0,33,11,34,0,0,24,0
2022-06-01,56,0,40,29,88,0,0,82,27,73,59,28,34,50,22,34,77,58,72,10,14,15,46,22,18,17,8,12,34,19,0,39,27,10,46,0,0,34,0
2022-07-01,54,0,37,36,77,25,0,65,30,75,52,31,17,42,22,28,69,50,69,9,20,16,37,24,15,18,7,12,0,16,0,36,22,9,21,0,0,25,0
2022-08-01,54,0,39,35,100,0,0,58,25,81,48,29,21,43,16,27,74,47,68,10,10,9,42,22,15,17,13,13,31,17,0,0,29,5,0,0,0,24,0
